Symbol	logFC_tum	logFC_norm	delta_logFC
ACSM4	0.339115384615386	0.720230049261083	-0.38111466464569704
ACSM5	0.98785	-2.39312807881773	3.38097807881773
ACSM6	0.121988461538464	-7.22613497536944	7.348123436907905
ACSS1	1.13093846153846	-0.185847783251232	1.3167862447896919
ACSS2	0.297603846153847	-1.56018226600986	1.8577861121637071
ACSS3	2.21154230769231	2.38408669950739	-0.1725443918150802
ACTA1	0.614292307692307	-2.47980738916256	3.094099696854867
ACTA2	0.502096153846153	-0.922272906403941	1.424369060250094
ACTB	-0.240523076923086	1.5606472906404	-1.801170367563486
ACTBL2	2.15914615384616	3.65554334975369	-1.4963971959075302
ACTC1	-0.805823076923077	-1.85741330049261	1.0515902235695331
ACTG1	-0.0755884615384641	1.09273300492611	-1.168321466464574
ACTG2	-0.280546153846153	-4.0307275862069	3.7501814323607467
ACTL6A	0.792607692307693	0.407101970443349	0.385505721864344
ACTL6B	0.821342307692312	-1.72801477832512	2.549357086017432
ACTL7A	0.506803846153849	-0.0959748768472934	0.6027787230011424
ACTL7B	0.492534615384619	-0.574030049261083	1.066564664645702
ACTL8	-0.0614538461538467	3.23893152709359	-3.300385373247437
ACTL9	0.359480769230773	0.231559605911333	0.12792116331943998
ACTMAP	0.334873076923076	0.6385157635468	-0.30364268662372396
ACTN1	-0.148215384615384	2.30384482758621	-2.452060212201594
ACTN2	-0.0714230769230766	-1.40464975369458	1.3332266767715033
ACTN3	-0.106842307692309	-0.958391625615762	0.851549317923453
ACTN4	0.578196153846155	0.268065024630544	0.310131129215611
ACTR10	0.757034615384613	0.362055665024628	0.39497895035998504
ACTR1A	-0.275634615384614	-0.0180704433497523	-0.2575641720348617
ACTR1B	0.887830769230771	-0.265531527093597	1.153362296324368
ACTR2	1.18754230769231	2.26803399014778	-1.0804916824554702
ACTR3	0.964503846153844	1.80840197044335	-0.8438981242895061
ACTR3B	0.396992307692307	0.141536453201972	0.255455854490335
ACTR3C	0.816207692307691	-2.4012842364532	3.217491928760891
ACTR5	0.0314115384615383	-0.702176354679802	0.7335878931413403
ACTR6	1.40488076923077	0.930645320197046	0.47423544903372405
ACTR8	0.560507692307692	1.00848571428571	-0.44797802197801795
ACTRT1	0.387103846153851	0.0075679802955672	0.3795358658582838
ACTRT3	1.14460384615385	3.22913793103449	-2.08453408488064
ACVR1	1.28487692307692	1.78137487684729	-0.49649795377037
ACVR1B	0.722788461538462	-1.73836502463054	2.461153486169002
ACVR1C	0.699761538461539	-0.249860098522165	0.949621636983704
ACVR2A	1.56969230769231	-1.70296009852217	3.2726524062144797
ACVR2B	0.0792423076923079	0.486457142857144	-0.4072148351648361
