Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
ADAMTSL5	-0.1331	0.815375121903466	1.95829753694581	2.3111381388969e-107	NS	UP	False	True	-2.09139753694581
ADAP1	0.635111538461538	0.162539876077099	-1.23987832512315	1.14259232843465e-48	NS	DOWN	False	True	1.874989863584688
ADAP2	1.14821923076923	0.0056535567556331	-5.03162315270936	4.7270029121180304e-157	NS	DOWN	False	True	6.17984238347859
ADARB1	0.897653846153846	0.0017875877081696	2.31873743842365	1.0919296137116099e-107	NS	UP	False	True	-1.4210835922698037
ADARB2	2.91636538461539	0.0035596659542577	-6.71644778325122	1.83465670621851e-117	NS	DOWN	False	True	9.63281316786661
ADAT3	-0.1317	0.730769670931079	-1.61524778325123	8.63628603398697e-53	NS	DOWN	False	True	1.48354778325123
ADCK2	0.149319230769228	0.518642784583479	-1.29317339901478	5.141794389538359e-125	NS	DOWN	False	True	1.442492629784008
ADCY2	-2.11384230769231	0.0309555522839195	-7.3509251231527	1.6959436134041e-147	NS	DOWN	False	True	5.23708281546039
ADCY4	0.514423076923077	0.107357020805425	-2.27348029556651	6.67496167781306e-82	NS	DOWN	False	True	2.787903372489587
ADCY5	0.920696153846153	0.176290447155727	-2.08536847290641	3.46140709233722e-64	NS	DOWN	False	True	3.006064626752563
ADCY7	1.27848076923077	0.0010462796140507	1.47664039408867	1.9359788445149e-80	NS	UP	False	True	-0.19815962485790006
ADCY8	1.44899230769231	0.147825768663806	-4.25366748768472	4.66996120889792e-37	NS	DOWN	False	True	5.702659795377031
ADCY9	0.332696153846153	0.263025114175558	1.16123448275862	2.0073431120981699e-78	NS	UP	False	True	-0.828538328912467
ADCYAP1	1.47761153846154	0.141180344943238	-3.4827290640394	4.73408724573929e-29	NS	DOWN	False	True	4.96034060250094
ADCYAP1R1	0.182584615384616	0.73889899067798	-4.84066748768472	7.90726265133152e-101	NS	DOWN	False	True	5.023252103069336
ADD2	1.42198846153846	0.0974726557112316	-3.80993940886699	3.25516244957394e-59	NS	DOWN	False	True	5.23192787040545
ADGB	1.50061923076923	0.0553645013628374	-3.88773201970443	8.26111981438349e-42	NS	DOWN	False	True	5.38835125047366
ADGRA1	-1.02351153846154	0.127210862898932	-1.6693118226601	1.1347394864935701e-15	NS	DOWN	False	True	0.64580028419856
ADGRB1	1.99671923076923	0.0025891125387973	-5.80081379310345	1.34076224809924e-150	NS	DOWN	False	True	7.79753302387268
ADGRB3	2.03939230769231	0.0280605463054055	-4.08704433497536	1.51419030417777e-75	NS	DOWN	False	True	6.12643664266767
ADGRD1	1.58805384615385	0.0035711005139859	2.06854482758621	1.91511144845573e-46	NS	UP	False	True	-0.4804909814323599
ADGRD2	0.351080769230775	0.767062238376887	-9.0984133004926	5.54440284391509e-208	NS	DOWN	False	True	9.449494069723375
ADGRE2	-0.108438461538461	0.847825014218659	-1.40907980295567	5.66639133934834e-31	NS	DOWN	False	True	1.3006413414172089
ADGRE5	1.12488461538462	0.0090018074282253	2.42144433497537	9.36230635958883e-131	NS	UP	False	True	-1.29655971959075
ADGRF2P	-0.088549999999997	0.930553697828597	-10.8206837438424	2.04195052189674e-244	NS	DOWN	False	True	10.732133743842404
