Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
IGFBP5	2.94028461538462	0.0001374886328993	-5.44463497536946	8.408720933935421e-151	UP	DOWN	True	True	8.38491959075408
IGFN1	3.21835384615385	0.0001610976124357	-1.40680443349753	3.3907702417151694e-11	UP	DOWN	True	True	4.62515827965138
IL2RA	1.68353461538462	0.0005195412092734	-4.6913054187192	2.40967361870576e-64	UP	DOWN	True	True	6.374840034103819
INO80D	1.52335769230769	5.60896026374724e-06	-1.15389408866995	1.36519471686838e-74	UP	DOWN	True	True	2.67725178097764
IRAG1	1.28550384615385	0.0003006208080623	-1.25341773399015	5.09989923176642e-21	UP	DOWN	True	True	2.5389215801439997
IRAG2	1.6817	0.0006179496419944	-7.21926600985221	1.95030838989144e-101	UP	DOWN	True	True	8.90096600985221
ITGA6	2.02126538461538	0.0004767747546937	-4.48202709359606	5.305500327261681e-169	UP	DOWN	True	True	6.50329247821144
ITGA8	1.98177307692308	3.05018954538641e-05	-3.10924088669951	1.09906646529235e-68	UP	DOWN	True	True	5.09101396362259
ITIH6	5.14621923076923	5.35767744942057e-06	-2.41773891625615	2.4116920264509602e-31	UP	DOWN	True	True	7.56395814702538
ITM2B	1.65531153846154	3.64928748031337e-06	-1.25915714285714	1.14562559479926e-104	UP	DOWN	True	True	2.91446868131868
ITPRID2	1.77174615384615	6.79601474732206e-05	-1.01745566502463	1.4704608225502e-54	UP	DOWN	True	True	2.7892018188707803
ITSN2	1.32317692307692	1.80455016978249e-05	-1.09662660098522	1.7703647739194501e-87	UP	DOWN	True	True	2.41980352406214
JAK2	2.06042307692308	3.38340174306528e-06	-1.18044285714286	3.2160590573355e-56	UP	DOWN	True	True	3.24086593406594
JPH1	4.02511923076923	1.84454452217566e-05	-2.77802660098522	1.95922824152601e-66	UP	DOWN	True	True	6.803145831754449
KALRN	1.86542692307692	0.0002149519902522	-3.43417389162562	7.410716189200921e-131	UP	DOWN	True	True	5.29960081470254
KCNIP1	4.25141538461539	0.0001798509917537	-5.81598669950738	9.60274860682735e-79	UP	DOWN	True	True	10.067402084122769
KCNJ1	2.68784615384616	0.0003696676255988	-5.02655320197043	3.11697212037003e-69	UP	DOWN	True	True	7.714399355816591
KCNJ10	4.14330384615385	0.0001726237282647	-1.54388669950739	6.806398527720411e-19	UP	DOWN	True	True	5.68719054566124
